semantic_relation_evidence_id	semantic_relation_id	source_id	source_locator_or_restricted_pointer	term_or_context_hash	relation_supported	evidence_authority	rights_status	raw_definition_published
semantic-evidence:4cd22a7ea804332c1f33b77c	semantic-relation:9a4c5b0e2dbc5d5a8da1b192	semantic-reference.pmc13163763	PMC13163763#table-2-row-10	6e3296186cfd825be4264a595d192c00d9651e3436bc75a90e6efdab56fad564	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:c9aaa00333a91a3a1656503c	semantic-relation:a22935a449ee0e0f4424ec95	semantic-reference.pmc8774372	PMC8774372#table-3-row-3	66e359ac8493f0e720307aa800d62cd0194235b80d0216db0d67f55ca7f5c75b	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:88781350b6f42d3e537ab936	semantic-relation:a2376906eb5527e81ceba45d	semantic-reference.pmc11675256	PMC11675256#table-1-row-7	e31c561b8f67621fcb5c792eda7f5d3c69c81b6b2ab7681c938aae56e7378ac8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a78cde126094c286a4a0b45c	semantic-relation:a267144d70d3d555516230c0	semantic-reference.pmc11675256	PMC11675256#table-1-row-23	5b5823959509cc8aeb7792d5ca869fa11e7e4cbf0b238e056cb37f84edbaa230	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:717e6e7fe798c3aad3b8c732	semantic-relation:a2a82b149aa83596ec78bbde	semantic-reference.pmc8774372	PMC8774372#table-3-row-21	505b3040c21c4444c34a2db5fd0546e45b9552ea0f7d246ea158ff4cdabca454	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:49af5715e50895cef50d2b9b	semantic-relation:a2bc4f84dda3f127c83b6a84	semantic-reference.pmc13279845	PMC13279845#table-1-row-17	8af098cde9a99028965571e7577d8990311bccead245e348480fe924311a0b25	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a95fb133ce8cafde502d0ba8	semantic-relation:a48661fe7acff22d21ea330a	semantic-reference.pmc11675256	PMC11675256#table-1-row-18	c85e187ffc90227d99568c3402dd785848092f38cca2f9fde36a2ee9c7f81f22	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:4122e5d736630a276dbdc5df	semantic-relation:a53f70318f79034791fb5660	semantic-reference.pmc6776322	PMC6776322#table-2-column-4	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:4946807247961602c626052f	semantic-relation:ad2210f0fec8cb0c984e450d	semantic-reference.pmc8774372	PMC8774372#table-3-row-12	cea748479290f84f6f7bc0549484d74684042cba30bc81864ad3947518c838ee	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:8711973f0f43dd4120527f0e	semantic-relation:add8a26864d6ce53ce879473	semantic-reference.pmc11675256	PMC11675256#table-1-row-6	29fc45b77f218fd577afca9e41231fcc00975f7c5fd20e90cb6afb9ae72d48dd	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1bff45342f9cdd1f68f52a32	semantic-relation:b1e3ff74b56b63a9f0ef02be	semantic-reference.pmc8774372	PMC8774372#table-3-row-26	aa890b1a16e0b6409db5bd503d3da3d5e0e3e89df216975a475d9906f78a80f8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1311815804f6077786136571	semantic-relation:b56ff41e8bdc8d69d22afbe3	semantic-reference.pmc13163763	PMC13163763#table-2-row-6	ef8867618051a7ccf66141cca8d33959cfce0a0a88787d5453ea2b21f5b87bfb	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:4f8a780cc3da4ac152242f19	semantic-relation:b641cb4ae43563357a4265c8	semantic-reference.pmc6776322	PMC6776322#table-2-column-3	0a3fbd76022074f7e31cddf75c46884774e0c0260ed0ccc5e060bf6b5b8a7504	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:144ba9055c70762c22b73d0f	semantic-relation:ba1501d27ff20a809bbb44b8	semantic-reference.pmc8774372	PMC8774372#table-3-row-10	8ad34128e96c22c352d8a575bacfdb48430b426337bcad6f81976cc83edc4c4f	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:39494a1effbe783feb36101f	semantic-relation:bb0aa4267c0b91f95922f449	semantic-reference.pmc13279845	PMC13279845#table-1-row-5	57095bf10216024c8261f8f8836122d4d0ab3dcf780be94d60e72aac4686e806	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:fe65e29746ae8a1c497d7f94	semantic-relation:bb8dd767239d44310db4d5ab	semantic-reference.pmc11675256	PMC11675256#table-1-row-15	dce1109a8ff530100331ff9620e73df99a237973d9f3d32dbdad4c41ef3fe859	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:60636b8d95f0a38ca91c7f5c	semantic-relation:bf13851e96f7cdaef82ba326	semantic-reference.pmc6776322	PMC6776322#table-2-column-7	06f2cd50f23c0f032d94f9d5517913f22d0213e39e44b8a7af07e2bbc2bbe22d	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:d03ed1b91df385e6fc11b173	semantic-relation:c574f3c2479b02320098327c	semantic-reference.pmc13163763	PMC13163763#table-2-row-13	e2f39915704c7eabc117a42ff8b3484325c01121e71e90ddb1e0615135d74e87	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:7d40ff357e425b3e36fa52de	semantic-relation:c68a23be44e1cd451a0b36ab	semantic-reference.pmc13163763	PMC13163763#table-2-row-21	7fd00874d24aeb8ad9238d3a7ecaba9d02a0c9f8058f541d080babfeb69bba4e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:b33f9ac1d5d06537d8d2d7f2	semantic-relation:c810190d5d2b7234e600c6c1	semantic-reference.pmc13279845	PMC13279845#table-1-row-16	ef806c9b0bb704fe43c9d6bd01afc1bdd98dddd11cc5c5250e536da81d83bea7	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:3b33f93dbed3e96bc243fc0a	semantic-relation:d264843fa3ee5af6569f4431	semantic-reference.pmc8774372	PMC8774372#table-3-row-6	b90df51b038d688ce99e015af4f5f77d95eb217f5d94daab2c570bad15f214e4	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:afe5a099713df6c51da93757	semantic-relation:d427e1afcc9d90723ebe39ab	semantic-reference.pmc8774372	PMC8774372#table-3-row-8	22e2ee25457065617691c83ddeda20c10546b08129da8e893eafebf095ed2101	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a308d19f34d2f68c04faece4	semantic-relation:d4428336d22bda5161b95092	semantic-reference.pmc6776322	PMC6776322#table-2-column-5	83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a7f7c7d3b8231fb98c9f0225	semantic-relation:dc3c42b2f2a7a76e4ce2bf9c	semantic-reference.pmc11675256	PMC11675256#table-1-row-3	2497636b3911a3b19d056eece002ef9e5829992f96950e63b2ff001ab109cae3	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:7bbf396552c19ab1a09a41dd	semantic-relation:e12ab0962ce07b386a4c797a	semantic-reference.pmc11675256	PMC11675256#table-1-row-2	9b4ff1589694dd0cd734e27f63af44f45343a3714aace69b14d24d6f922f7a99	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:10ad766c96e018ad78af1f93	semantic-relation:e4e799d8600a036d77bf93cc	semantic-reference.pmc11675256	PMC11675256#table-1-row-29	cd1327f7e971ae0c2ed853f502aa755430e9a07ebc5cd18ba8c2ee6faecac973	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1fd2369cf7288fb3b9634208	semantic-relation:e4ec97ef68d96905cf203ede	semantic-reference.pmc11675256	PMC11675256#table-1-row-4	0e81719c8acd6a0044ac704e4007bad4b3252d6b39006e13a53d3ee5f17efe59	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f249866ffbcebd941e29eb9d	semantic-relation:e6d9354198d94f940aa21f54	semantic-reference.pmc8774372	PMC8774372#table-3-row-7	93a95bd9828322218dc6a5c7f96209b4f3a9ebba68ff8ffe560cfecc4f6059a1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:fbeb333f8cf995c47efe2f30	semantic-relation:ec2983386da6869f444331a2	semantic-reference.pmc13163763	PMC13163763#table-2-row-5	4210ecb6dc051d214cbe27bb2e5953d138f7f635c61c3607228d3a9200a3a533	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:3697da6c55962a6bddeba23c	semantic-relation:ee021e1a4c95b10a98a93992	semantic-reference.pmc8774372	PMC8774372#table-3-row-17	06a973c51d00ef9524b0e40f6b3e19e4df804baf37463ff4f355333032af1abf	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:c38b02de040ac44931bc91b4	semantic-relation:ef56898eb9e4c1deca16d7f7	semantic-reference.pmc8774372	PMC8774372#table-3-row-16	e49178609511cb0c1c5780097b2642beb1e6b70b9d8459fed0147ab2f3a6d6c4	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:fc6416cd946ff093d678643a	semantic-relation:efb4a8f48039fcb1d2fc9411	semantic-reference.pmc13279845	PMC13279845#table-1-row-19	266c91832c9123bfa3eb6d8bbb38f1385e6ac5c965ee5bc692952fb419d3e585	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:b0ae6de7943ebeb82f343872	semantic-relation:efd713ef1df5fa451e270723	semantic-reference.pmc6776322	PMC6776322#table-2-column-2	8bd1c5cb837eb8a4bf13bb88f8a7922d84d2b98b192bc698e1a8058d0a97e0fd	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:9329bcc1c9dce5125bab26c7	semantic-relation:f5bff81adb7ed444a1dba38f	semantic-reference.pmc13163763	PMC13163763#table-2-row-4	2b51aa67d0146b7583150e9d51dfc39ac5d2a92af92e63a0ff7a61d369f38516	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:c11ecf0e81b737ca740c2849	semantic-relation:f62a84e4167e28b78ba63beb	semantic-reference.pmc11675256	PMC11675256#table-1-row-26	830c8f040f9d4c94a31df504f9c5d1de39aeaa6c7f2c928d3599edd062b1f8a5	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:8c8e6f744f09c202dbaa646c	semantic-relation:f71d5375448010a246ce7e40	semantic-reference.pmc8774372	PMC8774372#table-3-row-20	151a913b2fe4a2fe9c9e0f0fd3a37120ff66131c15a0cfff1dc39b057309261d	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a5c1c8ab1b22656e5deff18c	semantic-relation:f81cf2199a1bd9c67c545384	semantic-reference.pmc13279845	PMC13279845#table-1-row-12	f667b45b0cd72cc39a5ea65f540cf6cdc3c72e8c06ed92e2d5eb0469d140e9ed	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1a17e415a44be7e47aa9c2b7	semantic-relation:f9235b96eaaa7c3273f47e3e	semantic-reference.pmc8774372	PMC8774372#table-3-row-25	835441a03fcf6f69154c4f06ba40ed8b1e0b0902fd72072709d8c71c535ee73d	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:05755cc708c9b1b1c5ccc012	semantic-relation:fcc30f0c236ce68e3ee027ab	semantic-reference.pmc8774372	PMC8774372#table-3-row-2	f0a4bb760100062f9aba363d44d04f0b7e4b307b083f6cec9ce2623039d16957	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:6f107c81d923aaac499511e6	semantic-relation:ff105ea8e16bcb338607e937	semantic-reference.pmc11675256	PMC11675256#table-1-row-20	b999ebbde9a80b9c4039929561c29cea77e262425971f23712eb56f4660d3268	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:96a261c1d0b524f5fb685875	semantic-relation:ff6490f80aa44894bbac6388	semantic-reference.pmc11675256	PMC11675256#table-1-row-31	30e711b6cc12afe4bf75f9918f82b4748488f8a1297ee07d0dfc1f4d59c470d2	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
